,player,score,odds,tourney_rank,course_rank
173,Jon Rahm,64.18900000000001,,17.0,17.0
185,Scottie Scheffler,64.599,179.0,15.0,15.0
54,Tony Finau,65.619,,27.0,27.0
184,Xander Schauffele,66.023,,43.0,43.0
82,Tyrrell Hatton,66.289,3325.0,,
23,Patrick Cantlay,66.307,,,
96,Max Homa,66.618,,169.0,169.0
42,Jason Day,66.701,4300.0,43.0,43.0
56,Tommy Fleetwood,66.931,,27.0,27.0
103,Sungjae Im,66.973,,129.5,129.5
143,Rory McIlroy,67.036,,,
57,Rickie Fowler,67.271,,95.5,95.5
152,Collin Morikawa,67.327,,,
30,Wyndham Clark,67.611,,91.0,91.0
121,Matt Kuchar,67.70200000000001,4825.0,27.0,27.0
215,Justin Thomas,67.969,,3.0,3.0
112,Tom Kim,67.982,,,
99,Viktor Hovland,68.026,,,
242,Kevin Yu,68.165,,,
180,Justin Rose,68.21300000000001,,,
198,Jordan Spieth,68.307,,20.0,20.0
212,Nick Taylor,68.52799999999999,,116.5,116.5
113,Chris Kirk,68.57300000000001,,,
34,Corey Conners,68.66,,72.0,72.0
93,Tom Hoge,68.72,3450.0,95.5,95.5
111,Si Woo Kim,68.731,3400.0,79.5,79.5
137,Hideki Matsuyama,68.771,2300.0,10.0,10.0
104,Stephan Jaeger,68.78,7150.0,37.0,37.0
55,Matt Fitzpatrick,68.879,,,
14,Keegan Bradley,68.91,,76.0,76.0
19,Hayden Buckley,68.94500000000001,,141.0,141.0
139,Denny McCarthy,68.956,,43.0,43.0
179,Patrick Rodgers,68.99,,67.5,67.5
70,Ben Griffin,69.054,36875.0,,
15,Joseph Bramlett,69.104,8750.0,7.0,7.0
11,Akshay Bhatia,69.134,,,
151,Taylor Moore,69.13799999999999,,7.0,7.0
126,K.H. Lee,69.238,4425.0,,
147,Keith Mitchell,69.267,,27.0,27.0
218,Brendon Todd,69.308,,161.0,161.0
214,Sahith Theegala,69.367,,72.0,72.0
209,Adam Svensson,69.371,,95.5,95.5
240,Cameron Young,69.39099999999999,53250.0,,
2,Byeong Hun An,69.391,,61.5,61.5
239,Dylan Wu,69.472,13750.0,165.0,165.0
197,J.J. Spaun,69.49499999999999,4250.0,64.5,64.5
75,Adam Hadwin,69.52399999999999,8125.0,122.5,122.5
172,Andrew Putnam,69.544,,99.0,99.0
31,Eric Cole,69.546,6375.0,,
149,Taylor Montgomery,69.56700000000001,2600.0,,
236,Gary Woodland,69.577,,66.0,66.0
100,Mark Hubbard,69.602,7500.0,72.0,72.0
134,Shane Lowry,69.65100000000001,,,
190,Robby Shelton,69.754,26000.0,167.0,167.0
202,Sam Stevens,69.78800000000001,7250.0,,
39,Joel Dahmen,69.79400000000001,,50.5,50.5
174,Aaron Rai,69.807,12875.0,12.0,12.0
211,Ben Taylor,69.857,,159.0,159.0
144,Maverick McNealy,69.902,27625.0,27.0,27.0
67,Will Gordon,69.908,11500.0,95.5,95.5
194,Alex Smalley,69.98700000000001,7050.0,,
110,S.H. Kim,69.99499999999999,8875.0,,
21,Sam Burns,70.006,,43.0,43.0
136,Ben Martin,70.024,,86.0,86.0
41,Cam Davis,70.03200000000001,,,
182,Sam Ryder,70.034,,103.0,103.0
234,Danny Willett,70.037,,151.0,151.0
80,Brian Harman,70.071,,100.5,100.5
84,Russell Henley,70.13,,92.0,92.0
72,Emiliano Grillo,70.15400000000001,,12.0,12.0
186,Adam Schenk,70.175,17875.0,83.0,83.0
238,Brandon Wu,70.18299999999999,50000.0,17.0,17.0
115,Kurt Kitayama,70.196,,141.0,141.0
43,Thomas Detry,70.32199999999999,,,
189,Adam Scott,70.405,1500.0,9.0,9.0
4,Aaron Baddeley,70.451,218750.0,141.0,141.0
7,Erik Barnes,70.46000000000001,,,
52,Harris English,70.505,,75.0,75.0
160,Andrew Novak,70.513,18875.0,,
191,Greyson Sigg,70.515,30750.0,159.0,159.0
98,Beau Hossler,70.527,,77.5,77.5
157,Alex Noren,70.559,,,
166,Cameron Percy,70.569,56250.0,105.5,105.5
227,Matt Wallace,70.6,,159.0,159.0
171,Seamus Power,70.633,16025.0,64.5,64.5
124,Nate Lashley,70.73,13500.0,54.0,54.0
109,Michael Kim,70.74000000000001,26625.0,126.0,126.0
27,Kevin Chappell,70.768,86000.0,141.0,141.0
62,Ryan Gerard,70.797,,,
78,Harry Hall,70.827,18125.0,,
226,Jimmy Walker,70.85000000000001,9250.0,36.0,36.0
79,Nick Hardy,70.864,,,
167,Scott Piercy,70.90400000000001,28250.0,89.0,89.0
91,Lee Hodges,70.905,,129.5,129.5
169,J.T. Poston,70.96,,147.5,147.5
10,Christiaan Bezuidenhout,71.015,18625.0,1.0,1.0
50,Austin Eckroat,71.031,33250.0,,
203,Sepp Straka,71.05300000000001,,32.5,32.5
89,Garrick Higgo,71.07000000000001,21375.0,,
101,Mackenzie Hughes,71.08600000000001,6500.0,129.5,129.5
12,Zac Blair,71.138,33500.0,72.0,72.0
155,Matthew NeSmith,71.164,28750.0,17.0,17.0
178,Davis Riley,71.178,7000.0,7.0,7.0
216,Davis Thompson,71.191,32250.0,,
205,Kevin Streelman,71.19200000000001,,,
162,Sean O'Hair,71.23,20167.0,43.0,43.0
119,Satoshi Kodaira,71.231,88750.0,81.5,81.5
206,Chris Stroud,71.241,90000.0,165.0,165.0
92,Charley Hoffman,71.253,117000.0,54.0,54.0
163,Ryan Palmer,71.303,15000.0,48.0,48.0
223,Erik van Rooyen,71.327,31500.0,141.0,141.0
208,Justin Suh,71.347,22250.0,,
217,Michael Thompson,71.368,15000.0,63.0,63.0
235,Aaron Wise,71.369,18375.0,14.0,14.0
60,Brice Garnett,71.40499999999999,48750.0,43.0,43.0
181,Kevin Roy,71.43,104750.0,,
38,MJ Daffue,71.49799999999999,278750.0,109.0,109.0
129,David Lipsky,71.526,217000.0,5.0,5.0
165,Taylor Pendrith,71.57600000000001,,,
141,William McGirt,71.626,290000.0,,
159,Vincent Norrman,71.648,23000.0,,
130,Luke List,71.675,6000.0,100.5,100.5
200,Scott Stallings,71.717,47625.0,38.0,38.0
128,David Lingmerth,71.729,,119.5,119.5
88,Kramer Hickok,71.75500000000001,280500.0,112.5,112.5
243,Carl Yuan,71.80600000000001,131250.0,,
161,Augusto Núñez,71.928,24500.0,,
74,Chesson Hadley,71.965,42500.0,122.5,122.5
221,Kevin Tway,72.066,29750.0,77.5,77.5
76,James Hahn,72.088,39250.0,56.0,56.0
192,Webb Simpson,72.134,,,
65,Lucas Glover,72.139,91000.0,141.0,141.0
48,Tyler Duncan,72.164,118000.0,50.5,50.5
135,Peter Malnati,72.171,,109.0,109.0
150,Ryan Moore,72.177,140000.0,151.0,151.0
158,Henrik Norlander,72.199,29250.0,109.0,109.0
231,Kyle Westmoreland,72.315,58750.0,,
68,Tano Goya,72.32000000000001,,,
131,Adam Long,72.348,218750.0,,
148,Francesco Molinari,72.35000000000001,,2.0,2.0
241,Carson Young,72.353,53250.0,,
133,Justin Lower,72.39699999999999,46250.0,,
118,Russell Knox,72.39999999999999,113750.0,35.0,35.0
116,Patton Kizzire,72.46900000000001,14500.0,22.0,22.0
195,Austin Smotherman,72.47399999999999,218000.0,,
63,Doug Ghim,72.51299999999999,12625.0,60.0,60.0
97,Billy Horschel,72.536,,31.0,31.0
153,Trey Mullinax,72.545,129500.0,151.0,151.0
3,Ryan Armour,72.547,76250.0,86.0,86.0
35,Austin Cook,72.54700000000001,88750.0,153.0,153.0
28,Stewart Cink,72.616,281250.0,,
51,Harrison Endycott,72.637,76250.0,,
106,Zach Johnson,72.833,,27.0,27.0
187,Matti Schmid,72.841,37000.0,,
210,Callum Tarren,72.90700000000001,,,
47,Jason Dufner,72.962,137500.0,54.0,54.0
44,Luke Donald,72.99,,86.0,86.0
45,Zecheng Dou,73.047,5367.0,119.5,119.5
46,Zecheng Dou,73.047,37000.0,119.5,119.5
77,Paul Haley II,73.06,,,
175,Chad Ramey,73.11500000000001,24250.0,,
146,Troy Merritt,73.159,49500.0,32.5,32.5
1,Tyson Alexander,73.19200000000001,96250.0,,
122,Martin Laird,73.203,107500.0,115.0,115.0
33,Trevor Cone,73.276,,,
188,Matthias Schwab,73.286,119500.0,27.0,27.0
176,Chez Reavie,73.304,,129.5,129.5
229,Trevor Werbylo,73.428,85000.0,,
49,Nico Echavarria,73.442,,,
204,Robert Streb,73.488,92500.0,149.0,149.0
177,Doc Redman,73.676,43000.0,50.5,50.5
22,Jonathan Byrd,73.699,135000.0,116.5,116.5
81,Scott Harrington,73.716,118750.0,119.5,119.5
156,S.Y. Noh,73.791,9262.0,,
87,Jim Herman,73.905,126250.0,134.0,134.0
220,Martin Trainer,73.91900000000001,74750.0,134.0,134.0
207,Brian Stuard,74.111,218333.0,105.5,105.5
125,Hank Lebioda,74.14,39000.0,86.0,86.0
230,Richy Werenski,74.171,25000.0,162.5,162.5
90,Harry Higgs,74.207,53250.0,102.0,102.0
26,Cameron Champ,74.22500000000001,68000.0,22.0,22.0
86,Lucas Herbert,74.228,,,
58,Dylan Frittelli,74.34,43500.0,67.5,67.5
69,Brent Grant,74.345,88750.0,,
64,Michael Gligic,74.465,98750.0,43.0,43.0
73,Bill Haas,74.618,126250.0,86.0,86.0
0,Anders Albertson,74.636,,165.0,165.0
138,Brandon Matthews,74.749,54750.0,,
123,Andrew Landry,75.164,226250.0,114.0,114.0
201,Kyle Stanley,75.472,291250.0,72.0,72.0
107,Sung Kang,75.791,55000.0,58.5,58.5
108,Sung Kang,75.791,60000.0,58.5,58.5
120,Kelly Kraft,75.84299999999999,226250.0,154.0,154.0
228,Nick Watney,75.91999999999999,288750.0,90.0,90.0
183,Rory Sabbatini,75.966,,34.0,34.0
17,Scott Brown,75.96900000000001,108750.0,43.0,43.0
16,Ryan Brehm,76.238,226250.0,141.0,141.0
117,Philip Knowles,76.51299999999999,,,
114,Kevin Kisner,76.885,,141.0,141.0
142,Max McGreevy,76.96100000000001,285500.0,,
5,Sangmoon Bae,,33333.0,,
6,Briny Baird,,,,
8,Ricky Barnes,,151250.0,147.5,147.5
9,Daniel Berger,,,4.0,4.0
13,Jonas Blixt,,228750.0,50.5,50.5
18,Wesley Bryan,,237500.0,22.0,22.0
20,Bronson Burgoon,,,19.0,19.0
24,Bud Cauley,,,43.0,43.0
25,Greg Chalmers,,216250.0,155.0,155.0
29,Tim Clark,,,,
32,Chad Collins,,,129.5,129.5
36,Vince Covello,,,,
37,Ben Crane,,300000.0,124.0,124.0
40,Brian Davis,,,157.0,157.0
53,Matt Every,,,104.0,104.0
59,Jim Furyk,,,,
61,Robert Garrigus,,133333.0,95.5,95.5
66,Fabián Gómez,,118750.0,,
71,Lanto Griffin,,,61.5,61.5
83,David Hearn,,,141.0,141.0
85,J.J. Henry,,,146.0,146.0
94,Nicolai Hojgaard,,,,
95,J.B. Holmes,,,134.0,134.0
102,John Huh,,,129.5,129.5
105,Richard Johnson,,,,
127,Nicholas Lindheim,,,81.5,81.5
132,Davis Love III,,,,
140,Tyler McCumber,,,,
145,John Merrick,,,125.0,125.0
154,Grayson Murray,,141250.0,136.0,136.0
164,C.T. Pan,,47500.0,95.5,95.5
168,D.A. Points,,228750.0,162.5,162.5
170,"Ted Potter, Jr.",,,,
193,Vijay Singh,,,12.0,12.0
196,Brandt Snedeker,,,79.5,79.5
199,Kevin Stadler,,300000.0,168.0,168.0
213,Vaughn Taylor,,,69.0,69.0
219,D.J. Trahan,,150000.0,156.0,156.0
222,Bo Van Pelt,,300000.0,109.0,109.0
224,Jhonattan Vegas,,,57.0,57.0
225,Camilo Villegas,,50000.0,,
232,Vince Whaley,,282000.0,,
233,Tim Wilkinson,,,112.5,112.5
237,Tiger Woods,,,,
244,Will Zalatoris,,,109.0,109.0
