,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,last_season_score,last_season_cut,odds
122,K.H. Lee,32791,70.724,0.609,0.015,0.336,0.61,0.259,-0.001,,,,,,,,13583.0
123,Nicholas Lindheim,37278,,,,,,,,,,,,,,,
124,David Lingmerth,34409,71.247,-0.321,-0.411,-0.133,-0.374,0.17,0.053,2.67,0.67,2.67,0.67,,,,
125,David Lipsky,36326,71.313,-0.462,-0.133,0.337,0.412,0.208,-0.874,,,,,,,,41333.0
126,Luke List,27129,71.614,-0.224,0.688,-0.11,0.807,0.229,-1.031,-0.29,0.57,-0.29,0.57,2180.0,7.0,0.0,30000.0
127,Adam Long,35449,71.613,-0.382,-0.076,0.091,-0.699,-0.714,0.317,-1.0,0.25,-1.0,0.25,2103.0,-9.0,1.0,48667.0
128,Davis Love III,01706,,,,,,,,2.83,0.33,2.83,0.33,2143.0,3.0,0.0,140000.0
129,Justin Lower,40162,71.423,-0.058,-0.205,-0.116,-0.662,-0.342,0.604,,,,,,,,63333.0
130,Shane Lowry,33204,70.536,0.636,0.428,0.024,1.047,0.595,-0.411,-7.2,0.8,-7.2,0.8,2213.0,-12.0,1.0,3133.0
131,Peter Malnati,34466,71.247,0.252,-0.442,0.259,-0.377,-0.194,0.629,-1.29,0.71,-1.29,0.71,2197.0,-5.0,1.0,41167.0
132,Ben Martin,33413,70.69,0.457,0.065,-0.251,0.501,0.688,-0.044,0.67,0.67,0.67,0.67,2118.0,0.0,1.0,12417.0
133,Hideki Matsuyama,32839,70.545,0.961,0.124,0.407,0.813,0.282,0.148,2.0,0.0,2.0,0.0,,,,
134,Brandon Matthews,51491,72.505,-1.456,0.2,-0.936,-0.966,-0.229,-0.491,,,,,,,,
135,Denny McCarthy,47993,70.245,0.713,0.108,0.064,0.248,0.075,0.465,-2.75,0.75,-2.75,0.75,2144.0,-1.0,1.0,11667.0
136,Tyler McCumber,40042,,,,,,,,,,,,,,,
137,William McGirt,31202,71.766,0.477,-0.113,0.447,-0.102,-0.436,0.579,-2.0,0.67,-2.0,0.67,2227.0,2.0,0.0,
138,Max McGreevy,51950,72.899,-2.408,-0.791,-0.015,-1.937,-1.131,-0.471,,,,,,,,114167.0
139,Rory McIlroy,28237,70.1,1.633,0.852,0.281,2.062,0.929,-0.429,-11.0,1.0,-11.0,1.0,,,,
140,Maverick McNealy,46442,69.935,0.93,-0.286,0.181,-0.404,-0.299,1.334,-9.33,1.0,-9.33,1.0,2186.0,-7.0,1.0,10833.0
141,John Merrick,27933,,,,,,,,-7.0,1.0,-7.0,1.0,,,,
142,Troy Merritt,32640,72.033,-0.791,-0.114,-0.209,-0.486,-0.163,-0.305,-5.0,0.67,-5.0,0.67,2224.0,-9.0,1.0,48667.0
143,Keith Mitchell,39546,70.489,1.017,0.817,0.122,0.955,0.016,0.062,1.0,0.33,1.0,0.33,,,,10750.0
144,Francesco Molinari,25198,72.462,-0.681,-0.145,-0.269,-0.362,0.051,-0.319,-0.25,0.75,-0.25,0.75,,,,
145,Taylor Montgomery,55789,70.013,1.127,0.189,0.182,-0.07,-0.441,1.197,,,,,,,,9667.0
146,Ryan Moore,26596,71.739,-0.25,-0.366,-0.331,-0.126,0.57,-0.124,-2.5,0.75,-2.5,0.75,,,,52000.0
147,Taylor Moore,49947,70.591,0.855,0.206,0.034,0.384,0.145,0.471,,,,,,,,12000.0
148,Collin Morikawa,50525,70.009,1.622,0.462,0.167,1.725,1.095,-0.103,-8.0,1.0,-8.0,1.0,2129.0,-7.0,1.0,1767.0
149,Trey Mullinax,46601,72.078,-0.601,-0.029,-0.119,-0.19,-0.043,-0.411,-1.5,1.0,-1.5,1.0,,,,42000.0
150,Grayson Murray,34213,,,,,,,,1.0,0.5,1.0,0.5,,,,
151,Matthew NeSmith,36871,71.326,0.008,-0.261,0.055,-0.042,0.164,0.049,-8.33,1.0,-8.33,1.0,2187.0,-9.0,1.0,42000.0
152,S.Y. Noh,29289,71.488,-1.354,-1.003,-0.311,-1.928,-0.614,0.574,,,,,,,,
153,Alex Noren,27349,70.953,0.636,-0.393,0.385,0.197,0.205,0.439,,,,,,,,
154,Henrik Norlander,30163,71.233,-0.698,0.014,0.081,-0.115,-0.209,-0.583,4.0,0.0,4.0,0.0,2154.0,4.0,0.0,
155,Vincent Norrman,51070,71.523,-0.663,0.117,-0.05,-0.191,-0.259,-0.472,,,,,,,,
156,Andrew Novak,51997,71.122,0.631,-0.092,0.116,-0.047,-0.072,0.678,,,,,,,,
157,Augusto Núñez,36724,71.527,-0.387,-0.008,0.24,0.134,-0.099,-0.521,,,,,,,,
158,Sean O'Hair,24140,71.184,0.226,-0.329,0.403,0.334,0.26,-0.108,-0.33,0.33,-0.33,0.33,,,,
159,Ryan Palmer,23320,71.467,-0.215,0.067,-0.134,0.261,0.328,-0.476,-2.2,1.0,-2.2,1.0,,,,36833.0
160,C.T. Pan,29908,,,,,,,,-5.33,0.83,-5.33,0.83,2131.0,-5.0,1.0,50833.0
161,Taylor Pendrith,40250,71.476,-0.139,0.339,-0.169,-0.141,-0.311,0.002,,,,,,,,27417.0
162,Cameron Percy,22056,71.247,0.873,0.354,-0.15,0.347,0.143,0.526,,,,,,,,
163,Scott Piercy,25818,71.218,0.045,-0.398,0.29,0.251,0.36,-0.206,-3.8,0.8,-3.8,0.8,2214.0,-9.0,1.0,44500.0
164,D.A. Points,25240,,,,,,,,3.25,0.0,3.25,0.0,,,,
165,J.T. Poston,49771,71.033,0.006,0.032,-0.088,0.194,0.25,-0.189,-9.5,0.75,-9.5,0.75,2167.0,-12.0,1.0,6100.0
166,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,,
167,Seamus Power,28252,70.704,0.283,-0.045,0.286,-0.285,-0.374,0.568,-9.0,1.0,-9.0,1.0,,,,12333.0
168,Andrew Putnam,34256,70.285,0.776,-0.421,0.181,0.052,0.292,0.724,3.5,0.0,3.5,0.0,2105.0,5.0,0.0,17833.0
169,Jon Rahm,46970,68.792,2.498,0.399,0.406,1.807,1.002,0.691,-12.0,1.0,-12.0,1.0,,,,883.0
170,Aaron Rai,46414,70.726,0.418,0.304,0.208,0.673,0.16,-0.255,,,,,,,,15417.0
171,Chad Ramey,47983,71.846,-0.422,-0.169,-0.073,-0.87,-0.628,0.447,,,,,,,,48667.0
172,Chez Reavie,26476,72.676,-1.168,-0.153,-0.313,-0.646,-0.181,-0.522,3.71,0.43,3.71,0.43,2132.0,13.0,0.0,56333.0
173,Doc Redman,53165,71.687,-0.802,-0.193,-0.478,-1.197,-0.526,0.395,-2.25,0.75,-2.25,0.75,2145.0,-4.0,1.0,61167.0
174,Davis Riley,47995,71.104,-0.008,-0.046,-0.339,0.112,0.496,-0.12,13.0,0.0,13.0,0.0,2146.0,13.0,0.0,20583.0
175,Patrick Rodgers,36699,70.396,0.739,0.344,0.413,0.576,-0.181,0.163,-2.0,0.0,-2.0,0.0,,,,21417.0
176,Justin Rose,22405,70.009,1.074,0.133,0.039,0.6,0.427,0.474,-16.0,1.0,-16.0,1.0,,,,6750.0
177,Kevin Roy,39335,71.732,-0.661,-0.258,-0.149,0.191,0.598,-0.852,,,,,,,,
178,Sam Ryder,37275,70.34,1.112,-0.369,-0.125,-0.091,0.403,1.204,-1.67,0.33,-1.67,0.33,2215.0,1.0,0.0,18500.0
179,Rory Sabbatini,23621,72.675,-1.224,-0.776,0.085,-1.558,-0.867,0.334,-3.83,0.67,-3.83,0.67,,,,
180,Xander Schauffele,48081,69.944,1.58,-0.074,0.224,1.036,0.886,0.544,-1.67,1.0,-1.67,1.0,,,,2233.0
181,Scottie Scheffler,46046,69.194,2.283,0.99,0.347,2.268,0.931,0.016,,,,,,,,800.0
182,Adam Schenk,47347,70.814,0.469,-0.017,0.223,0.049,-0.157,0.42,2.25,0.25,2.25,0.25,2106.0,8.0,0.0,27333.0
183,Matti Schmid,48867,72.39,-0.241,0.084,-0.47,-0.307,0.08,0.066,,,,,,,,
184,Matthias Schwab,34610,71.57,-0.746,-0.408,-0.002,-0.621,-0.21,-0.125,0.0,1.0,0.0,1.0,2189.0,0.0,1.0,51333.0
185,Adam Scott,24502,71.886,-0.216,0.355,0.054,-0.04,-0.449,-0.176,,,,,,,,14083.0
186,Robby Shelton,46441,70.65,0.527,-0.222,0.398,0.672,0.496,-0.145,6.0,0.0,6.0,0.0,,,,
187,Greyson Sigg,51890,70.924,0.241,-0.032,-0.046,-0.022,0.057,0.263,,,,,,,,54167.0
188,Webb Simpson,29221,71.481,-0.345,-0.414,-0.242,-0.23,0.427,-0.115,-6.38,1.0,-6.38,1.0,2228.0,0.0,1.0,10500.0
189,Vijay Singh,06567,,,,,,,,1.25,0.5,1.25,0.5,,,,
190,Alex Smalley,46340,70.803,0.298,0.302,0.105,0.52,0.113,-0.222,2.0,0.0,2.0,0.0,2107.0,2.0,0.0,30333.0
191,Austin Smotherman,50095,71.83,-0.778,-0.002,-0.343,-0.549,-0.204,-0.228,,,,,,,,48667.0
192,Brandt Snedeker,27649,,,,,,,,-1.62,0.62,-1.62,0.62,2120.0,5.0,0.0,
193,J.J. Spaun,39324,70.595,0.548,0.277,0.206,0.451,-0.032,0.097,-2.6,0.4,-2.6,0.4,2168.0,3.0,0.0,10500.0
194,Jordan Spieth,34046,70.337,1.012,0.096,0.398,0.914,0.421,0.098,-6.25,1.0,-6.25,1.0,2169.0,-13.0,1.0,1950.0
195,Kevin Stadler,26679,,,,,,,,,,,,,,,
196,Scott Stallings,30692,71.379,-0.122,0.017,0.173,-0.159,-0.349,0.037,-0.2,0.6,-0.2,0.6,2216.0,7.0,0.0,23167.0
197,Kyle Stanley,30110,73.078,-2.123,-0.021,-0.294,-0.605,-0.29,-1.518,-0.25,0.5,-0.25,0.5,,,,
198,Sam Stevens,55893,70.658,0.607,0.398,-0.12,0.421,0.143,0.186,,,,,,,,20000.0
199,Sepp Straka,49960,71.253,0.576,-0.202,-0.205,0.227,0.634,0.348,-7.67,1.0,-7.67,1.0,2217.0,-12.0,1.0,13500.0
200,Robert Streb,34431,72.063,-1.242,-0.303,-0.044,-0.57,-0.224,-0.671,-0.33,0.5,-0.33,0.5,2204.0,-5.0,1.0,104167.0
201,Kevin Streelman,27214,71.572,-0.1,0.123,0.009,-0.151,-0.283,0.051,-4.17,0.67,-4.17,0.67,2175.0,4.0,0.0,38833.0
202,Chris Stroud,27963,71.068,0.207,-0.134,-0.152,0.332,0.617,-0.125,-1.0,0.4,-1.0,0.4,,,,
203,Brian Stuard,31560,72.225,-0.724,-0.932,0.365,-0.931,-0.364,0.207,-3.14,1.0,-3.14,1.0,2121.0,4.0,1.0,
204,Justin Suh,50493,70.686,0.31,0.091,-0.276,-0.074,0.111,0.384,,,,,,,,23250.0
205,Adam Svensson,40115,70.873,0.804,0.088,0.184,0.402,0.346,0.402,-7.0,1.0,-7.0,1.0,2108.0,-7.0,1.0,19083.0
206,Callum Tarren,48699,71.764,-0.575,-0.08,-0.464,-0.405,0.138,-0.17,,,,,,,,54167.0
207,Ben Taylor,48119,70.694,0.919,-0.061,0.059,0.132,0.134,0.787,,,,,,,,43000.0
208,Nick Taylor,25493,70.295,1.146,0.04,0.345,0.737,0.352,0.408,1.57,0.43,1.57,0.43,2193.0,4.0,0.0,14167.0
209,Vaughn Taylor,23325,,,,,,,,2.17,0.5,2.17,0.5,,,,
210,Sahith Theegala,51634,70.513,0.572,-0.133,0.206,0.342,0.269,0.23,6.0,1.0,6.0,1.0,2218.0,6.0,1.0,5833.0
211,Justin Thomas,33448,70.769,1.067,0.316,0.628,1.284,0.341,-0.217,-4.0,1.0,-4.0,1.0,2170.0,-6.0,1.0,2517.0
212,Davis Thompson,58168,71.126,-0.091,0.527,-0.185,0.073,-0.269,-0.164,,,,,,,,24000.0
213,Michael Thompson,32150,71.503,0.083,0.075,0.038,-0.137,-0.25,0.22,-3.71,0.57,-3.71,0.57,2190.0,2.0,0.0,20333.0
214,Brendon Todd,30927,70.604,0.839,-0.326,0.422,0.362,0.265,0.477,-4.2,0.6,-4.2,0.6,2122.0,-7.0,1.0,15333.0
215,D.J. Trahan,23788,,,,,,,,6.0,0.0,6.0,0.0,,,,
216,Martin Trainer,35617,71.901,-1.083,-0.52,-0.212,-1.16,-0.428,0.076,7.33,0.0,7.33,0.0,2191.0,9.0,0.0,
217,Kevin Tway,32333,71.156,-0.202,-0.033,-0.228,-0.364,-0.103,0.163,-0.25,0.5,-0.25,0.5,2176.0,2.0,0.0,60333.0
218,Bo Van Pelt,23623,,,,,,,,-0.67,0.33,-0.67,0.33,,,,
219,Erik van Rooyen,40006,71.439,-0.363,0.0,-0.222,-0.013,0.209,-0.35,-12.5,1.0,-12.5,1.0,2149.0,-11.0,1.0,29833.0
220,Jhonattan Vegas,27064,70.856,0.478,0.865,-0.255,1.009,0.399,-0.531,-7.0,0.5,-7.0,0.5,,,,
221,Camilo Villegas,27770,72.645,-3.547,-1.629,0.324,-3.266,-1.961,-0.281,1.0,0.75,1.0,0.75,2136.0,0.0,1.0,
222,Jimmy Walker,25632,71.881,-0.337,-0.414,0.224,-0.365,-0.024,0.027,1.0,0.0,1.0,0.0,,,,77500.0
223,Matt Wallace,48887,70.589,0.552,-0.413,0.509,0.606,0.51,-0.055,-2.33,0.67,-2.33,0.67,,,,14333.0
224,Nick Watney,27095,72.639,-1.879,-1.335,-0.204,-1.767,-0.228,-0.112,4.4,0.2,4.4,0.2,2194.0,7.0,0.0,
225,Trevor Werbylo,58967,71.989,-0.932,-0.412,0.195,-0.998,-0.781,0.067,,,,,,,,
226,Richy Werenski,47128,72.281,-0.996,-0.102,-0.277,-1.413,-1.034,0.417,2.75,0.25,2.75,0.25,2205.0,1.0,0.0,85000.0
227,Kyle Westmoreland,52411,71.845,-0.365,0.086,-0.166,-0.153,-0.073,-0.211,,,,,,,,
228,Vince Whaley,51894,,,,,,,,,,,,,,,
229,Tim Wilkinson,25349,,,,,,,,3.0,0.0,3.0,0.0,,,,
230,Danny Willett,32139,70.81,0.771,-0.077,0.3,0.306,0.083,0.465,-1.0,0.4,-1.0,0.4,2147.0,-3.0,1.0,26000.0
231,Aaron Wise,49964,70.912,0.136,-0.198,0.27,-0.593,-0.665,0.729,-1.0,0.33,-1.0,0.33,2109.0,-8.0,1.0,
232,Gary Woodland,31323,71.079,-0.004,0.633,-0.536,0.718,0.622,-0.723,-6.0,1.0,-6.0,1.0,,,,12500.0
233,Tiger Woods,08793,,,,,,,,,,,,,,,
234,Brandon Wu,52374,70.768,-0.092,0.102,0.057,0.109,-0.049,-0.201,,,,,,,,31667.0
235,Dylan Wu,54783,70.837,0.348,0.049,0.132,0.4,0.219,-0.051,,,,,,,,
236,Cameron Young,57366,70.713,0.641,0.639,-0.15,1.146,0.657,-0.505,-12.0,1.0,-12.0,1.0,2137.0,-12.0,1.0,2100.0
237,Cameron Young,57366,70.713,0.641,0.639,-0.15,1.146,0.657,-0.505,-12.0,1.0,-12.0,1.0,2137.0,-12.0,1.0,94167.0
238,Carson Young,52513,71.938,-1.122,-0.089,-0.384,-0.881,-0.408,-0.241,,,,,,,,2100.0
239,Carson Young,52513,71.938,-1.122,-0.089,-0.384,-0.881,-0.408,-0.241,,,,,,,,94167.0
240,Kevin Yu,45242,70.373,0.817,0.912,-0.007,1.391,0.486,-0.574,,,,,,,,
241,Carl Yuan,55454,71.425,-0.331,0.23,-0.271,-0.074,-0.034,-0.257,,,,,,,,
242,Will Zalatoris,47483,71.295,0.567,0.612,-0.062,0.735,0.185,-0.168,-5.0,1.0,-5.0,1.0,,,,
